City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Hermanus,ZA,-34.42,19.23,59.0,73,61,8.01,light rain,0.13,0
1,Roma,US,43.21,-75.46,68.0,82,75,9.17,broken clouds,0.0,0
2,Ushuaia,AR,-54.8,-68.3,35.6,59,20,17.22,few clouds,0.0,0
3,Caravelas,BR,-17.71,-39.25,72.16,79,51,3.8,broken clouds,0.0,0
4,Kapaa,US,22.08,-159.32,82.4,65,1,14.99,clear sky,0.0,0
5,Suez,EG,29.97,32.53,71.33,80,0,10.07,clear sky,0.0,0
6,Tiksi,RU,71.69,128.87,46.58,81,82,10.76,broken clouds,0.0,0
7,Saint George,US,37.1,-113.58,98.01,10,1,8.05,clear sky,0.0,0
8,Cape Town,ZA,-33.93,18.42,57.99,71,20,6.93,few clouds,0.0,0
9,Hilo,US,19.73,-155.09,84.2,62,20,10.29,few clouds,0.0,0
10,Chuy,UY,-33.7,-53.46,43.41,84,0,3.96,clear sky,0.0,0
11,Dikson,RU,73.51,80.55,44.94,88,36,13.11,scattered clouds,0.0,0
12,Arraial Do Cabo,BR,-22.97,-42.03,69.84,85,63,18.59,broken clouds,0.0,0
13,Belyy Yar,RU,53.6,91.39,71.6,78,54,2.24,light rain,0.28,0
14,Coquimbo,CL,-29.95,-71.34,51.8,93,100,2.24,overcast clouds,0.0,0
15,Kutum,SD,14.2,24.67,71.26,47,3,3.11,clear sky,0.0,0
16,Punta Arenas,CL,-53.15,-70.92,24.8,79,0,6.93,clear sky,0.0,0
17,Aksu,CN,41.12,80.26,72.5,33,100,28.3,overcast clouds,0.0,0
18,Jamestown,US,42.1,-79.24,66.2,93,20,6.93,few clouds,0.0,0
19,Lebu,CL,-37.62,-73.65,51.22,90,100,18.9,moderate rain,1.33,0
20,Saskylakh,RU,71.92,114.08,65.91,43,81,9.33,broken clouds,0.0,0
21,Bouna,CI,9.27,-3.0,72.43,88,100,7.81,overcast clouds,0.0,0
22,Kalmunai,LK,7.42,81.82,84.51,67,60,2.44,broken clouds,0.0,0
23,Birin,NP,26.89,88.07,65.1,100,100,2.55,heavy intensity rain,6.42,0
24,Mataura,NZ,-46.19,168.86,44.6,96,100,2.64,light rain,0.84,0
25,Puerto Escondido,MX,15.85,-97.07,80.91,79,57,5.7,light rain,0.32,0
26,Vaini,TO,-21.2,-175.2,78.8,83,75,6.93,broken clouds,0.0,0
27,Torbay,CA,47.67,-52.73,54.0,93,75,9.17,broken clouds,0.0,0
28,Bluff,NZ,-46.6,168.33,49.75,94,100,11.63,light rain,0.18,0
29,Mar Del Plata,AR,-38.0,-57.56,43.0,100,75,2.24,broken clouds,0.0,0
30,Fengzhen,CN,40.44,113.15,75.38,44,100,7.09,overcast clouds,0.0,0
31,Provideniya,RU,64.38,-173.3,40.57,67,10,17.87,clear sky,0.0,0
32,Atuona,PF,-9.8,-139.03,79.77,78,52,11.65,light rain,0.31,0
33,Puerto Baquerizo Moreno,EC,-0.9,-89.6,69.93,86,43,9.84,scattered clouds,0.0,0
34,Ventersburg,ZA,-28.09,27.14,36.03,74,0,7.58,clear sky,0.0,0
35,Nanortalik,GL,60.14,-45.24,42.42,89,91,0.89,overcast clouds,0.0,0
36,Mount Darwin,ZW,-16.77,31.58,57.67,60,0,2.64,clear sky,0.0,0
37,Longyearbyen,SJ,78.22,15.64,42.8,81,40,3.36,scattered clouds,0.0,0
38,Barrow,US,71.29,-156.79,59.0,51,90,8.05,overcast clouds,0.0,0
39,Rudbar,AF,30.15,62.6,81.82,25,0,12.5,clear sky,0.0,0
40,Balabac,PH,7.99,117.06,77.7,90,100,20.76,moderate rain,3.84,0
41,Ilulissat,GL,69.22,-51.1,39.2,86,0,3.53,clear sky,0.0,0
42,Georgetown,MY,5.41,100.34,86.0,88,20,3.36,few clouds,0.0,0
43,Rikitea,PF,-23.12,-134.97,70.11,72,9,19.95,clear sky,0.0,0
44,Hobart,AU,-42.88,147.33,50.0,66,0,5.82,clear sky,0.0,0
