City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Pocone,BR,68.25,clear sky,-16.26,-56.62,Hotel e Churrascaria Pantaneira
6,Quelimane,MZ,66.2,clear sky,-17.88,36.89,Hotel Flamingo
10,Bambous Virieux,MU,71.6,shower rain,-20.34,57.76,Casa Tia Villa
16,Quatre Cocos,MU,71.6,shower rain,-20.21,57.76,Veranda Palmar Beach Hotel
31,La Ronge,CA,69.8,overcast clouds,55.1,-105.28,Northland Motor Hotel
33,Albany,US,71.01,clear sky,42.6,-73.97,
37,Avarua,CK,71.6,light rain,-21.21,-159.78,Paradise Inn
40,Belyy Yar,RU,68.0,overcast clouds,53.6,91.39,Pasportnyy Stol
42,Faya,SA,73.4,scattered clouds,18.39,42.45,مقبرة ال مجمل
47,Bethel,US,69.01,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
48,Puerto Ayora,EC,70.0,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
51,Rikitea,PF,73.85,overcast clouds,-23.12,-134.97,Pension Maro'i
54,Grand-Santi,GF,73.06,broken clouds,4.25,-54.38,Hotel La Villa Couacou
57,Bonnyville,CA,69.8,broken clouds,54.27,-110.73,Best Western Bonnyville Inn & Suites
60,Petropavlovka,RU,74.59,overcast clouds,50.61,105.32,Tuyaa
62,Vila Franca Do Campo,PT,66.2,few clouds,37.72,-25.43,Pestana Bahia Praia
63,Zhanaozen,KZ,65.21,clear sky,43.3,52.8,K.korabay 28A
68,Jamestown,US,66.0,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
72,Fitchburg,US,69.01,few clouds,42.58,-71.8,Days Inn by Wyndham Leominster/Fitchburg Area
76,Ponta Do Sol,PT,69.8,scattered clouds,32.67,-17.1,Hotel do Campo
80,Diamantino,BR,73.11,broken clouds,-14.41,-56.45,Hotel Delta
92,Lagunas,PE,72.86,clear sky,-5.23,-75.68,Hospedaje Eco
97,Lagoa,PT,66.0,scattered clouds,39.05,-27.98,Casa Das Faias
105,Yumen,CN,67.3,scattered clouds,40.28,97.2,
120,Ubinskoye,RU,69.57,overcast clouds,55.31,79.68,Gostinitsa Siberia
125,Mahebourg,MU,71.6,shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
131,Geraldton,AU,68.0,overcast clouds,-28.77,114.6,Broadwater Mariner Resort
135,Ribeira Grande,PT,66.4,overcast clouds,38.52,-28.7,Quinta da Meia Eira
136,Carnarvon,AU,73.4,scattered clouds,-24.87,113.63,Hospitality Carnarvon
138,Arraial Do Cabo,BR,71.58,broken clouds,-22.97,-42.03,Pousada Porto Praia
139,Farafangana,MG,66.15,few clouds,-22.82,47.83,Austral Hotel
140,Mackenzie,CA,66.2,overcast clouds,55.3,-123.17,Hilton Shop
145,Yellowknife,CA,70.0,scattered clouds,62.46,-114.35,The Explorer Hotel
146,Hays,US,75.0,broken clouds,30.05,-98.03,Sinya on Lone Man Creek
149,Sao Joao Da Barra,BR,68.99,few clouds,-21.64,-41.05,Pousada Porto De Canoas
154,Puerto Del Rosario,ES,69.8,broken clouds,28.5,-13.86,Hotel JM Puerto del Rosario
156,Chalus,IR,71.6,overcast clouds,36.66,51.42,نظام مهندسي ساختمان چالوس
176,Maple Creek,CA,74.34,clear sky,49.92,-109.48,Willowbend Campground & Cabins
183,Norman Wells,CA,71.6,broken clouds,65.28,-126.83,Heritage Hotel
185,Souillac,MU,71.6,shower rain,-20.52,57.52,Bils' Villa
198,Neryungri,RU,65.1,overcast clouds,56.67,124.65,Pyat' Zvozd
205,Pimenteiras,BR,69.48,scattered clouds,-6.25,-41.42,Hotel Central
210,Peniche,PT,66.0,overcast clouds,39.36,-9.38,Hotel Star inn Peniche
212,Crixas,BR,70.41,overcast clouds,-14.55,-49.97,RISO HOTEL
216,Lanzhou,CN,69.8,clear sky,36.06,103.79,Lanzhou Amdo Xiangbala Hotel
217,Nikolskoye,RU,66.2,clear sky,59.7,30.79,Tourist House - Sablino
219,Gat,IL,70.0,clear sky,31.61,34.76,רגע בנחת
220,Mahabaleshwar,IN,67.33,overcast clouds,17.92,73.67,Evershine Resort
222,Abu Samrah,SY,72.05,clear sky,35.3,37.18,
225,Inhambane,MZ,65.66,clear sky,-23.86,35.38,Oceano
226,Lompoc,US,66.99,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
