City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,East London,ZA,2020-06-27 04:51:35,-33.02,27.91,51.8,76,0,10.29
1,Vaini,TO,2020-06-27 04:51:35,-21.2,-175.2,77.0,88,40,6.93
2,Jamestown,US,2020-06-27 04:51:35,42.1,-79.24,64.0,77,1,5.82
3,Tiarei,PF,2020-06-27 04:51:35,-17.53,-149.33,77.0,73,20,17.22
4,Kodiak,US,2020-06-27 04:51:35,57.79,-152.41,59.0,38,40,18.34
5,Bengkulu,ID,2020-06-27 04:51:35,-3.8,102.27,86.88,59,90,6.2
6,Liuzhou,CN,2020-06-27 04:51:35,24.31,109.39,90.01,66,88,16.91
7,Cherskiy,RU,2020-06-27 04:51:35,68.75,161.3,41.67,61,1,19.55
8,Avera,US,2020-06-27 04:51:35,33.19,-82.53,75.2,73,1,4.7
9,Alice Springs,AU,2020-06-27 04:49:53,-23.7,133.88,62.6,29,0,5.82
10,General Pico,AR,2020-06-27 04:51:35,-35.66,-63.76,46.49,54,98,10.58
11,Caravelas,BR,2020-06-27 04:51:35,-17.71,-39.25,70.66,93,13,5.23
12,Chitaga,CO,2020-06-27 04:51:36,7.14,-72.66,49.12,89,71,3.89
13,Ucluelet,CA,2020-06-27 04:49:28,48.93,-125.55,55.99,90,94,1.99
14,Adrar,MR,2020-06-27 04:51:36,20.5,-10.07,92.98,13,0,7.47
15,Kaitangata,NZ,2020-06-27 04:51:36,-46.28,169.85,46.99,69,55,1.99
16,Brae,GB,2020-06-27 04:51:36,60.4,-1.35,59.0,93,64,24.16
17,Alasehir,TR,2020-06-27 04:51:36,38.35,28.52,77.0,10,0,58.0
18,Chokurdakh,RU,2020-06-27 04:51:36,70.63,147.92,64.81,30,7,10.45
19,Kiama,AU,2020-06-27 04:51:36,-34.68,150.87,62.01,58,22,1.01
20,Mae Sai,TH,2020-06-27 04:51:36,20.43,99.88,81.0,88,75,2.24
21,Puerto Ayora,EC,2020-06-27 04:51:36,-0.74,-90.35,70.0,92,84,8.68
22,Eureka,US,2020-06-27 04:51:36,40.8,-124.16,59.0,7,0,1.68
23,Longyearbyen,SJ,2020-06-27 04:51:36,78.22,15.64,41.0,80,75,17.22
24,Hilo,US,2020-06-27 04:51:36,19.73,-155.09,80.6,69,90,10.29
25,Port Hedland,AU,2020-06-27 04:51:36,-20.32,118.57,84.2,10,0,13.87
26,Mataura,NZ,2020-06-27 04:51:36,-46.19,168.86,39.0,83,69,3.0
27,Kapaa,US,2020-06-27 04:51:36,22.08,-159.32,80.6,69,20,12.75
28,Pingliang,CN,2020-06-27 04:51:36,35.54,106.69,67.8,68,92,9.86
29,Rikitea,PF,2020-06-27 04:51:37,-23.12,-134.97,74.41,76,98,15.86
30,Yinchuan,CN,2020-06-27 04:51:37,38.47,106.27,87.01,17,15,11.01
31,Sfantu Gheorghe,RO,2020-06-27 04:51:37,45.87,25.78,66.0,87,0,4.0
32,Mahebourg,MU,2020-06-27 04:51:37,-20.41,57.7,71.6,94,40,13.87
